epoch,min_cosine_distance,avg_cosine_distance,max_cosine_distance,median_cosine_distance,min_cosine_similarity,avg_cosine_similarity,max_cosine_similarity,median_cosine_similarity
0,0.00015131913840549238,0.0009156706263923613,0.0033948846292757295,0.0008141322856182187,0.9966051153707243,0.9990843293736077,0.9998486808615945,0.9991858677143818
1,0.028659431906298827,0.07704994864616978,0.3448668731704242,0.06987143341308977,0.6551331268295758,0.9229500513538302,0.9713405680937012,0.9301285665869102
2,0.02353837960481775,0.05808819425584268,0.1701544388623697,0.05461241330632882,0.8298455611376303,0.9419118057441573,0.9764616203951823,0.9453875866936712
3,0.07805736557816756,0.1908584460008082,0.38503195209217433,0.18510431395392135,0.6149680479078257,0.8091415539991917,0.9219426344218324,0.8148956860460786
4,0.033068892003582095,0.08859330851995718,0.36538776034182496,0.07997291860589861,0.634612239658175,0.9114066914800428,0.9669311079964179,0.9200270813941014
5,0.017135004552383704,0.07074731392873564,0.31776765652014494,0.05969444119274703,0.6822323434798551,0.9292526860712643,0.9828649954476163,0.940305558807253
6,0.05622168928314164,0.11108253362373377,0.30607922596051795,0.1065570592711782,0.693920774039482,0.8889174663762662,0.9437783107168584,0.8934429407288218
7,0.1335607528289443,0.3122348556869502,0.6838130258615085,0.2974055095327325,0.3161869741384915,0.6877651443130498,0.8664392471710557,0.7025944904672675
8,0.06845027504150836,0.13524496267835348,0.30783841363198927,0.13162991286108117,0.6921615863680107,0.8647550373216465,0.9315497249584916,0.8683700871389188
9,0.023832753188592348,0.09943281044334241,0.5948760361196812,0.07901883081330996,0.4051239638803188,0.9005671895566576,0.9761672468114077,0.92098116918669
10,0.028118133057165928,0.14009353817408216,0.5523247652684845,0.12388994600572789,0.4476752347315155,0.8599064618259178,0.9718818669428341,0.8761100539942721
11,0.08732765977274104,0.2724788863843677,0.8187459827986068,0.25868495371593736,0.18125401720139322,0.7275211136156323,0.912672340227259,0.7413150462840626
12,0.11851461341311986,0.2914740919789647,0.7900510014420733,0.2782815667579319,0.2099489985579267,0.7085259080210353,0.8814853865868801,0.7217184332420681
13,0.11370722207658956,0.23481711399340985,0.4872220759848568,0.2264602738960556,0.5127779240151432,0.7651828860065901,0.8862927779234104,0.7735397261039444
14,0.028407938781894848,0.1768489643851734,0.622339210138212,0.15278740286151604,0.37766078986178797,0.8231510356148266,0.9715920612181052,0.847212597138484
15,0.13582624955263145,0.32111023831527485,0.694806591116442,0.31385045996141725,0.30519340888355795,0.6788897616847251,0.8641737504473685,0.6861495400385828
16,0.05459619759311041,0.10212851080035794,0.20267401617527359,0.09998066101265479,0.7973259838247264,0.8978714891996421,0.9454038024068896,0.9000193389873452
17,0.0010264210283079667,0.0042433893851640805,0.016955590079773097,0.00386106370355066,0.9830444099202269,0.9957566106148359,0.998973578971692,0.9961389362964493
18,0.020514492991783095,0.11921207536925438,0.4474044264761581,0.10086682648865919,0.5525955735238419,0.8807879246307456,0.9794855070082169,0.8991331735113408
19,0.15464586759955445,0.3151102557220472,0.7205771332484452,0.3053937461637517,0.2794228667515548,0.6848897442779528,0.8453541324004455,0.6946062538362483
20,0.2551878146573774,0.49268114884898817,0.9095892572866895,0.4812872343948753,0.09041074271331051,0.5073188511510118,0.7448121853426226,0.5187127656051247
21,0.07864295480747718,0.17165227030941155,0.40223314202020555,0.1624653882633137,0.5977668579797945,0.8283477296905885,0.9213570451925228,0.8375346117366863
22,0.05545228108321998,0.09740130722342417,0.23393611117455404,0.09341737750634793,0.766063888825446,0.9025986927765758,0.94454771891678,0.9065826224936521
23,0.13215596333772794,0.23796931106280897,0.47180201948247735,0.2314280392218715,0.5281979805175226,0.7620306889371911,0.8678440366622721,0.7685719607781285
24,0.11480861720165647,0.21044018982734883,0.3801666917474037,0.2066582067164796,0.6198333082525963,0.7895598101726512,0.8851913827983435,0.7933417932835204
25,0.05423852188753053,0.24292832947603982,0.7550438869072007,0.22287396264038717,0.2449561130927993,0.7570716705239602,0.9457614781124695,0.7771260373596128
26,0.15248690715884805,0.28751444425369815,0.5852515622513026,0.27826301162086,0.4147484377486974,0.7124855557463019,0.847513092841152,0.72173698837914
27,0.10372411632991574,0.1903011421207789,0.3629631258519309,0.18684074041278786,0.6370368741480691,0.8096988578792211,0.8962758836700843,0.8131592595872121
28,0.09453930213674022,0.17579575614278392,0.3000805342927064,0.17360243716658907,0.6999194657072936,0.8242042438572161,0.9054606978632598,0.8263975628334109
29,0.17306426262797492,0.3009230005519657,0.5720639109519203,0.29420531207993217,0.42793608904807967,0.6990769994480344,0.8269357373720251,0.7057946879200678
30,0.100263371831248,0.1922652260404789,0.3631019345288271,0.1870192436997553,0.6368980654711729,0.8077347739595211,0.899736628168752,0.8129807563002447
31,0.24755923319717632,0.42094534034886877,0.7185457387243307,0.41364026404725585,0.2814542612756693,0.5790546596511312,0.7524407668028237,0.5863597359527442
32,0.1024363390167925,0.1756853063134631,0.3417346865559804,0.16981408392455233,0.6582653134440196,0.8243146936865369,0.8975636609832075,0.8301859160754477
33,0.15879150020333566,0.3114753142276785,0.6202030459350644,0.3049523127036302,0.37979695406493563,0.6885246857723215,0.8412084997966643,0.6950476872963698
34,0.08658464765447493,0.16092870581338742,0.33096470488968344,0.15624341707975342,0.6690352951103166,0.8390712941866125,0.9134153523455251,0.8437565829202466
35,0.16689065226004396,0.32679931936270484,0.5717211590026987,0.32443478922032243,0.4282788409973013,0.6732006806372952,0.833109347739956,0.6755652107796776
36,0.1794562975501317,0.34191860830792364,0.6452649742489616,0.33838307724628913,0.35473502575103844,0.6580813916920764,0.8205437024498683,0.6616169227537109
37,0.16986278732568483,0.3381868415883444,0.7268181147102015,0.33059506705764397,0.2731818852897985,0.6618131584116556,0.8301372126743152,0.669404932942356
38,0.08526614121729859,0.1632602665950932,0.32325088543796576,0.1596580679020796,0.6767491145620342,0.8367397334049068,0.9147338587827014,0.8403419320979204
39,0.09490481064303913,0.17612713368362284,0.36157103229302257,0.1723714191527289,0.6384289677069774,0.8238728663163771,0.9050951893569609,0.8276285808472711
40,0.07711527619692637,0.1430461205284752,0.26318312825442036,0.1400773694826265,0.7368168717455796,0.8569538794715248,0.9228847238030736,0.8599226305173735
41,0.10211603913471423,0.16843069021972654,0.29501971094397106,0.16514276603287004,0.7049802890560289,0.8315693097802734,0.8978839608652858,0.83485723396713
42,0.14951464325719888,0.2681105407839168,0.4587857935580991,0.26299662803043167,0.5412142064419009,0.7318894592160832,0.8504853567428011,0.7370033719695683
43,0.18496884574406036,0.30459997509409864,0.5068525038104577,0.3005011250391115,0.49314749618954234,0.6954000249059014,0.8150311542559396,0.6994988749608885
44,0.08016225506582397,0.14056983573912693,0.24798850251750482,0.13730644936875935,0.7520114974824952,0.859430164260873,0.919837744934176,0.8626935506312406
45,0.11782818296983699,0.20590538474470832,0.3653826350451572,0.20211330470398603,0.6346173649548428,0.7940946152552917,0.882171817030163,0.797886695296014
46,0.19473025319893456,0.34128297732940716,0.5640351437374913,0.3391976780807705,0.4359648562625087,0.6587170226705928,0.8052697468010654,0.6608023219192295
47,0.1266683047994802,0.2402990039492198,0.4923725003854952,0.23285093266751522,0.5076274996145048,0.7597009960507802,0.8733316952005198,0.7671490673324848
48,0.23097559537280954,0.4565216746173731,0.790096813999681,0.45162348262366947,0.209903186000319,0.543478325382627,0.7690244046271905,0.5483765173763305
49,0.27932118670432216,0.5555888640611023,0.8854802591471117,0.5510901955427042,0.1145197408528883,0.4444111359388977,0.7206788132956778,0.4489098044572958
50,0.1858487233160071,0.30418065100324493,0.5829405334447479,0.2970103283528087,0.41705946655525206,0.695819348996755,0.8141512766839929,0.7029896716471913
51,0.19914088288507525,0.3471230618969677,0.6043993083525334,0.3401626881211862,0.3956006916474666,0.6528769381030324,0.8008591171149247,0.6598373118788138
52,0.06341581296368715,0.10565805749419256,0.19801297284315134,0.10249244840177163,0.8019870271568487,0.8943419425058075,0.9365841870363129,0.8975075515982284
53,0.1274720155267307,0.26004569907182556,0.4831639435929439,0.2563136875793218,0.5168360564070561,0.7399543009281744,0.8725279844732693,0.7436863124206782
54,0.2695520446187565,0.5032579763821311,0.8314981572406669,0.49883338269951083,0.1685018427593331,0.4967420236178689,0.7304479553812435,0.5011666173004892
55,0.24929268148462524,0.40103883870452556,0.6670769730591206,0.3952227101291189,0.3329230269408794,0.5989611612954744,0.7507073185153748,0.6047772898708811
56,0.3135461076360373,0.5166671360165546,0.8309237178239665,0.5091087367288465,0.16907628217603354,0.48333286398344544,0.6864538923639627,0.4908912632711535
57,0.15158934376873678,0.2703602030807439,0.48502834071993517,0.26151613098527127,0.5149716592800648,0.7296397969192561,0.8484106562312632,0.7384838690147287
58,0.22259497931244798,0.41542403445240483,0.6825927351319989,0.41044750179464506,0.3174072648680011,0.5845759655475952,0.777405020687552,0.5895524982053549
59,0.14151910522560285,0.25639823780360205,0.4643710524281843,0.25329810630298444,0.5356289475718157,0.743601762196398,0.8584808947743972,0.7467018936970156
60,0.14021350503612728,0.2780981836209271,0.5287821451264612,0.2736625062257443,0.47121785487353884,0.7219018163790729,0.8597864949638727,0.7263374937742557
61,0.3008881639904487,0.5331708435445903,0.8946394587256606,0.5268042129144572,0.10536054127433936,0.4668291564554097,0.6991118360095513,0.4731957870855428
62,0.06971363157988009,0.12119192743737739,0.23879329551228812,0.11823307858151388,0.7612067044877119,0.8788080725626226,0.9302863684201199,0.8817669214184861
63,0.38746899511160837,0.6659694659308366,1.0682296165788514,0.6599800404913357,-0.0682296165788514,0.3340305340691634,0.6125310048883916,0.34001995950866426
64,0.1938113289416301,0.3534663677962488,0.595163360326145,0.34695217881122853,0.40483663967385497,0.6465336322037512,0.8061886710583699,0.6530478211887715
65,0.18392074504058953,0.31896457686058466,0.5648433864338273,0.31386536566935497,0.43515661356617275,0.6810354231394153,0.8160792549594105,0.686134634330645
66,0.23194141277040992,0.49115128287778925,0.8729949401864083,0.48477266004059183,0.12700505981359167,0.5088487171222107,0.7680585872295901,0.5152273399594082
67,0.1444973294141514,0.2663404304474845,0.47271792218638,0.2618045895878416,0.52728207781362,0.7336595695525154,0.8555026705858486,0.7381954104121584
68,0.08475608130234791,0.16160470706789493,0.3579817934940952,0.1571979186418586,0.6420182065059048,0.838395292932105,0.9152439186976521,0.8428020813581414
69,0.19619924040386005,0.3936339616973685,0.7708979877417284,0.3832240054321484,0.22910201225827165,0.6063660383026315,0.80380075959614,0.6167759945678516
70,0.1362926981424849,0.2382379427794017,0.45596111210552026,0.23259786891059286,0.5440388878944797,0.7617620572205983,0.8637073018575151,0.7674021310894071
71,0.15369922780888567,0.25423857346114126,0.390002675617389,0.2514228536463594,0.609997324382611,0.7457614265388588,0.8463007721911143,0.7485771463536406
72,0.31129332610910976,0.5745418791891419,0.9630286867202277,0.5663891077477229,0.03697131327977232,0.4254581208108581,0.6887066738908902,0.4336108922522771
73,0.2161965159322322,0.3804679936288456,0.6990009793134873,0.3703454484645988,0.30099902068651274,0.6195320063711545,0.7838034840677678,0.6296545515354012
74,0.15559837797149645,0.27353630699059517,0.497641759159447,0.2675297338547702,0.502358240840553,0.7264636930094048,0.8444016220285036,0.7324702661452298
75,0.1648994862984935,0.3106126316004099,0.6704182440723072,0.3020648520594865,0.3295817559276928,0.6893873683995901,0.8351005137015065,0.6979351479405135
76,0.13759227473140778,0.22294910881241983,0.4330343579478966,0.2189804405311223,0.5669656420521034,0.7770508911875802,0.8624077252685922,0.7810195594688777
77,0.19530686683949317,0.34326547237963356,0.5837361892060651,0.3371363748176678,0.41626381079393493,0.6567345276203664,0.8046931331605068,0.6628636251823322
78,0.14373752953683716,0.28589364498547265,0.5089669789891839,0.2821247116920137,0.49103302101081614,0.7141063550145273,0.8562624704631628,0.7178752883079863
79,0.16664888543406664,0.29085598443112604,0.5155281942621232,0.28705882616217926,0.48447180573787685,0.709144015568874,0.8333511145659334,0.7129411738378207
80,0.2092246680653096,0.34603995920386393,0.6388786690827513,0.34126786950693966,0.36112133091724874,0.6539600407961361,0.7907753319346904,0.6587321304930603
81,0.08693851180258527,0.1582214728338085,0.3030606328498672,0.15474687581849467,0.6969393671501328,0.8417785271661915,0.9130614881974147,0.8452531241815053
82,0.15874502908259913,0.27004683217640135,0.4789154748755068,0.2636607970642739,0.5210845251244932,0.7299531678235986,0.8412549709174009,0.7363392029357261
83,0.07674557893443468,0.13504258985984766,0.23742088700928832,0.132314958175202,0.7625791129907117,0.8649574101401524,0.9232544210655653,0.867685041824798
84,0.15102964135184338,0.2540237433564328,0.45303133597064504,0.249057480736815,0.546968664029355,0.7459762566435673,0.8489703586481566,0.750942519263185
85,0.315007666386248,0.5596304840273381,0.8636407991765234,0.5546730505093115,0.13635920082347663,0.44036951597266194,0.684992333613752,0.4453269494906885
86,0.4143225888499026,0.693601168543736,1.1089908228116798,0.6853882089130816,-0.10899082281167982,0.306398831456264,0.5856774111500974,0.3146117910869184
87,0.12504657753453152,0.237265324830955,0.45832344084414,0.23110667920756134,0.54167655915586,0.762734675169045,0.8749534224654685,0.7688933207924387
88,0.30667183769261774,0.5336143687821999,0.7917646558126622,0.5309279147278859,0.2082353441873378,0.4663856312178001,0.6933281623073823,0.4690720852721141
89,0.2137366010784928,0.3677963068736774,0.6633319954578731,0.3608169913153654,0.33666800454212686,0.6322036931263226,0.7862633989215072,0.6391830086846346
90,0.11209214931032596,0.19364618511039086,0.3219227239877468,0.19113860967107899,0.6780772760122532,0.8063538148896091,0.887907850689674,0.808861390328921
91,0.07694719575709807,0.13145431781126735,0.2242106057171851,0.12942937117983033,0.7757893942828149,0.8685456821887326,0.9230528042429019,0.8705706288201697
92,0.15069399624318902,0.2925123283880437,0.4885520510701009,0.29069980425016195,0.5114479489298991,0.7074876716119562,0.849306003756811,0.709300195749838
93,0.1593975374036396,0.31301794804036076,0.5314322245349341,0.308592950209689,0.4685677754650659,0.6869820519596392,0.8406024625963604,0.691407049790311
94,0.22626795785515974,0.3906025245346216,0.6378107102833876,0.38556136701120924,0.36218928971661235,0.6093974754653784,0.7737320421448403,0.6144386329887908
95,0.2544620280665084,0.43723689931910004,0.7020089526408505,0.432710093719744,0.2979910473591495,0.5627631006809,0.7455379719334916,0.567289906280256
96,0.2054165992293553,0.32638274003894957,0.6052538270926386,0.3192954173487915,0.39474617290736136,0.6736172599610504,0.7945834007706447,0.6807045826512085
97,0.16687507324436335,0.31212867123596544,0.5613064903444382,0.30461188528947425,0.43869350965556175,0.6878713287640346,0.8331249267556367,0.6953881147105258
98,0.20098523212607022,0.37473012456002297,0.6613633939919266,0.36951123276439457,0.33863660600807344,0.625269875439977,0.7990147678739298,0.6304887672356054
99,0.19056277484201767,0.34225660670353547,0.6061952029507001,0.33414727506008646,0.39380479704929994,0.6577433932964645,0.8094372251579823,0.6658527249399135
